conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count;tweet_url;user_id_str;username
1,77E+18;Sat Mar 16 07:39:18 +0000 2024;0;SATRIA MAHAKENTIR GUE BACAIN SG NYA NINDY UNTUNGNYA PAS BELUM IMSAK;1,77E+18;;;in;The great;0;0;0;https://x.com/avicennazs/status/1768904863625461999;7,27E+17;avicennazs
1,77E+18;Sat Mar 16 07:31:07 +0000 2024;0;@tanyarlfes keknya nindy jg mending ga tenar sih wkwk yakali nindy seneng tenar krn hamil duluan??? lagian nindy dah kaya ga tenar jg gapeduli sih. justru si satria yg emg kere makanya pgn tenar lol ini anak kok ga lenyap lenyap yaa?;1,77E+18;;tanyarlfes;in;Kota Surabaya, Jawa Timur;0;0;0;https://x.com/nadyainestafya_/status/1768902801919500369;1617451981;nadyainestafya_
1,77E+18;Sat Mar 16 07:00:10 +0000 2024;1;Eh aku abis ngepoin akun Instagram ibu dari anak nya si badjingan Satria Mahatir cantik bangettt bjir. Sayang banget malah dapet cowok brengsek kek gitu itu kalo si Nindy orang terdekat gue sumpah udah gue bonyokin muka Satria anjirr;1,77E+18;;;in;unknown ;0;1;0;https://x.com/asakebenayaa/status/1768895014174945697;1,25E+18;asakebenayaa
1,77E+18;Sat Mar 16 06:46:54 +0000 2024;0;@tanyarlfes sumpah ya si satria mahathir najis bgt!!! bangga lo ngehamilin anak org? mokondo aja lu bangsaaaat bisa2nya org kriminal kyk gt dikasih panggung dan followers. gausah too confident deh bgst nindy bisa ngurus alpha tanpa lu aja udh keren lah el;1,77E+18;;tanyarlfes;in;;0;0;0;https://x.com/wickxity/status/1768891675789910284;1,26E+18;wickxity
1,77E+18;Sat Mar 16 05:58:04 +0000 2024;0;@5ribluu awal covid mereka viral karena MBA org' meninggikan satria yg mw tanggung jawab gt deh. posisinya masih sekolah kalo gasalah. trs tahun brp gitu ketauan si satria ternyata cheating dr nindy n akhirnya cere. terus si satria makin byk tingkah smpe ;1,77E+18;;5ribluu;in;enfj-t ;0;2;0;https://x.com/tracueee/status/1768879387297169634;1,71E+18;tracueee
1,77E+18;Sat Mar 16 05:22:40 +0000 2024;0;@AlmiraCeha GWEH BACAAA STORY NINDY LANGSUNG KYK ANJING BENERAN ADA ye manusia modelan satria;1,77E+18;;AlmiraCeha;in;she/her;0;0;0;https://x.com/sunfvalenbies/status/1768870476435313075;1,07E+18;sunfvalenbies
1,77E+18;Sat Mar 16 05:06:04 +0000 2024;0;nindy kuat bgt ngadepin satria;1,77E+18;;;in;;0;0;0;https://x.com/uuniiiee/status/1768866300796002492;1,05E+18;uuniiiee
1,77E+18;Sat Mar 16 04:36:11 +0000 2024;0;belagu lo satria lo tenar juga karna ke tololan lo itu TERUS LO BANGGA GITU TAI? gue jadi nindy gue bales tuh kata kata sampah satria yang lebih nyakitin.;1,77E+18;;kaakisrl;in;DKI Jakarta, Indonesia;0;0;0;https://x.com/kaakisrl/status/1768858780920652279;1,68E+18;kaakisrl
1,77E+18;Sat Mar 16 04:35:05 +0000 2024;0;gila ya ya satria tolol gue jadi nindy langsung ga mau temuin alpha sama bapaknya yang tolol beneran tolol ini.;1,77E+18;;;in;DKI Jakarta, Indonesia;0;3;0;https://x.com/kaakisrl/status/1768858500904743335;1,68E+18;kaakisrl
1,77E+18;Sat Mar 16 04:16:23 +0000 2024;0;ANJ AKHIRNYA ADA YG NGE UP DISINI gue br bgn liatnstory nindy chatan sm monyet bekantan kek?? idih najis anj pen gue ludahin muka satria fuck untung gue lg gapuasa!! fuckoff satria mahatir;1,77E+18;;;in;tidak.diketahui;0;1;0;https://x.com/yeueueaytap/status/1768853795080212639;1,25E+18;yeueueaytap
1,77E+18;Sat Mar 16 03:57:45 +0000 2024;0;gila satria cowok sakit;1,77E+18;;;in;;0;0;0;https://x.com/sukasinga/status/1768849105865031829;1,13E+18;sukasinga
1,77E+18;Sat Mar 16 03:50:48 +0000 2024;2;Orgil ni si satria udah bukan cogil lagi tapi udah gangguan jiwa kali Bisa bisa nya lo ngomong gitu ke MAMA NYA ANAK LO??? toh perasaan Nindy kemarin valid lo ngajak alpha tiktokan tapi keliatan alpha nya ngga suka. Lo tenar karena gue hamilin BUSETTTT;1,77E+18;;;in;RPS | she/they 20 queer;0;0;0;https://x.com/NUESTNEWT/status/1768847356852891687;9,09E+17;NUESTNEWT
1,77E+18;Sat Mar 16 02:44:51 +0000 2024;0;@tanyarlfes tenar gara2 gua hamilin anda itu numpang hidup sama nindy satria sakaw;1,77E+18;;tanyarlfes;in;💫;0;0;0;https://x.com/tastepinkve/status/1768830762160361836;1,52E+18;tastepinkve
1,77E+18;Sat Mar 16 02:41:34 +0000 2024;0;@tanyarlfes dih si satria kgk sadar diri padahal dulu pas sama nindy numpang hidup trus make motor bapaknya nindy dan dijual;1,77E+18;;tanyarlfes;in;ENville;0;0;0;https://x.com/jysimlv/status/1768829936851357980;1,04E+18;jysimlv
1,77E+18;Sat Mar 16 02:38:33 +0000 2024;20;@tanyarlfes gue jadi nindy bener bener malu banget sampe mati punya mantan modelan satria;1,77E+18;;tanyarlfes;in;;0;0;0;https://x.com/cacaqyy/status/1768829177975963770;1,22E+18;cacaqyy
1,77E+18;Sat Mar 16 01:06:52 +0000 2024;0;duh anjingg pagi2 baca chat nindy satria jengkel bgt;1,77E+18;;;in;;0;0;0;https://x.com/zyagrqvity/status/1768806101490016375;1,34E+18;zyagrqvity
1,77E+18;Fri Mar 15 23:44:02 +0000 2024;2;tapi sumpah gw liat anak nya satria kobel sekarang JADI CAKEP BANGET MANA MIRIP SAMA NINDY LAGI ITU SATRIA MENANG KASIH SPERMA DOANG gwa seneng banget anjir at leat anaknya mirip sama nindy ga sama si kobel;1,77E+18;;;in;;0;0;0;https://x.com/amamordialti/status/1768785257296441492;1,43E+18;amamordialti
1,77E+18;Fri Mar 15 22:00:34 +0000 2024;13;sumpah ini si satria cogil mahathir bikin gua emosi bulan puasa apaan bgt dah sampe ngmg ke mantannya kl si nindy bs famous gara gara dia hamilin emng kelas dan tingkatan org tu bisa diliat dlm sekejap mata deh https://t.co/CKRZ9ABTyK;1,77E+18;https://pbs.twimg.com/media/GIvlInpbYAAxM_O.jpg;;in;;1;1;0;https://x.com/pcrnyrdn/status/1768759218155438572;1,22E+18;pcrnyrdn
1,77E+18;Fri Mar 15 21:10:59 +0000 2024;1;pagi pagi gue gedeg bgt sm sg nya nindy tentang si satria cogil itu jir geli bgt;1,77E+18;;;in;;0;0;0;https://x.com/___kabila/status/1768746742265348431;1,51E+18;___kabila
1,77E+18;Wed Mar 13 12:32:43 +0000 2024;0;weits ini nindy sama satria lagi cekcok ya. ;1,77E+18;;;in;DNSS. DNFWC.;0;0;0;https://x.com/tantrumisogus/status/1767891539760648210;1,12E+18;tantrumisogus
1,77E+18;Wed Mar 13 08:34:05 +0000 2024;0;baru td liat tiktok satria mahatir terus barusan liat igs nindy kasian:(;1,77E+18;;;in;;0;1;0;https://x.com/fiirm4n/status/1767831485669945760;1,27E+18;fiirm4n
1,76E+18;Mon Mar 04 03:19:16 +0000 2024;0;@tanyakanrl Bukannya yg warna abu itu langka ya? Pernah liat review nya di nindy yg mantan satria dia abis beli hp yg warna kek gitu (lupa nama warnanya) dan dia bilang itu susah terus jarangg ada di ibox gampang soldout tnggal blg aja ke adkmu kalo mau p;1,76E+18;;tanyakanrl;in;Bandar Lampung, Lampung;0;0;0;https://x.com/resimarlin/status/1764490766691525104;1,27E+18;resimarlin
1,76E+18;Sat Feb 17 22:38:49 +0000 2024;0;@jualbeliganja ga kenal satria jo;1,76E+18;;jualbeliganja;in;selective;0;0;0;https://x.com/khenangann/status/1758984370877325742;1,61E+18;khenangann
1,75E+18;Tue Feb 06 15:00:33 +0000 2024;2;@titikfiksi Kak aku udh deg degan si gumi ditinggal pas lagi hamil kyk si satria ninggal si Nindy monmaf trust issue kak. Tapi ku percayakan pada kak kai;1,75E+18;;titikfiksi;in;;0;1;0;https://x.com/krupukjamet/status/1754882781174276113;1,47E+18;krupukjamet
1,75E+18;Sun Feb 04 10:10:59 +0000 2024;0;@ohmybeautybank Ini tuh kukunya nindy mantan istrinya satria. Itu dia distorynya blg udh sebulan blm dilepas fake nailsnya. Jd itu bukan sengaja dia pasang bejarak tp emg udh ga lepas2 fake nails selama sebulan;1,75E+18;;ohmybeautybank;in;;0;0;0;https://x.com/Guedsni/status/1754085133978927457;1,60E+18;Guedsni
1,75E+18;Sun Feb 04 09:16:51 +0000 2024;1;anjing yg bikin menfess nfarang bgt ini sg nya ka nindy mantannya satria mahatir jir kmrn gue liat;1,75E+18;;;in;;0;1;0;https://x.com/inisarabcde/status/1754071507335344280;1,24E+18;inisarabcde
1,75E+18;Wed Jan 17 21:14:08 +0000 2024;0;@kegblgnunfaedh mau ikut an si satria sama nindy;1,75E+18;;kegblgnunfaedh;in;yogyakarta;0;0;0;https://x.com/xxfithvl_/status/1747729037534056785;1,24E+18;xxfithvl_
